fecha,distr,prov,dep,week,physical_v,sexual_v,economical_v,psychological_v,first_time,inf,nin,ado,ado_t,jov,adu,m60,family,love,no_rel,aggr_alcohol,aggr_drug,vict_disab,vict_alco,vict_drug,vict_lgtbi
01/05/2018,30101,301,3.0,53,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
01/09/2018,30101,301,3.0,54,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
01/10/2018,30101,301,3.0,54,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
01/12/2018,30101,301,3.0,54,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
01/17/2018,30101,301,3.0,55,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
01/18/2018,30101,301,3.0,55,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
01/19/2018,30101,301,3.0,55,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
01/22/2018,30101,301,3.0,56,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
01/25/2018,30101,301,3.0,56,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
01/26/2018,30101,301,3.0,56,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
02/01/2018,30101,301,3.0,57,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
02/02/2018,30101,301,3.0,57,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
02/07/2018,30101,301,3.0,58,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
02/09/2018,30101,301,3.0,58,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
02/13/2018,30101,301,3.0,59,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
02/14/2018,30101,301,3.0,59,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
02/20/2018,30101,301,3.0,60,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
02/21/2018,30101,301,3.0,60,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
02/28/2018,30101,301,3.0,61,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
03/02/2018,30101,301,3.0,61,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
03/06/2018,30101,301,3.0,62,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
03/07/2018,30101,301,3.0,62,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
03/12/2018,30101,301,3.0,63,1,0,0,2,0,0,0,0,0,1,2,0,0,3,0,1,0,0,0,0,0
03/15/2018,30101,301,3.0,63,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
03/19/2018,30101,301,3.0,64,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
03/26/2018,30101,301,3.0,65,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
03/28/2018,30101,301,3.0,65,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
04/03/2018,30101,301,3.0,66,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
04/16/2018,30101,301,3.0,68,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
04/17/2018,30101,301,3.0,68,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
04/23/2018,30101,301,3.0,69,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
04/25/2018,30101,301,3.0,69,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0
04/26/2018,30101,301,3.0,69,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
04/30/2018,30101,301,3.0,70,1,1,0,2,1,0,1,0,0,1,2,0,1,2,1,0,0,1,0,0,0
05/08/2018,30101,301,3.0,71,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
05/09/2018,30101,301,3.0,71,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
05/15/2018,30101,301,3.0,72,1,0,0,2,0,0,0,1,0,0,2,0,1,2,0,1,0,0,0,0,0
05/17/2018,30101,301,3.0,72,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
05/24/2018,30101,301,3.0,73,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
