fecha,distr,prov,dep,week,physical_v,sexual_v,economical_v,psychological_v,first_time,inf,nin,ado,ado_t,jov,adu,m60,family,love,no_rel,aggr_alcohol,aggr_drug,vict_disab,vict_alco,vict_drug,vict_lgtbi
02/13/2019,30101,301,3.0,111,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
02/28/2019,30101,301,3.0,113,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03/19/2019,30101,301,3.0,116,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0
04/29/2019,30101,301,3.0,122,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
04/30/2019,30101,301,3.0,122,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
05/20/2019,30101,301,3.0,125,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0
05/23/2019,30101,301,3.0,125,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
05/31/2019,30101,301,3.0,126,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
07/02/2019,30101,301,3.0,131,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
07/18/2019,30101,301,3.0,133,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
07/31/2019,30101,301,3.0,135,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
08/13/2019,30101,301,3.0,137,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
09/30/2019,30101,301,3.0,144,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10/28/2019,30101,301,3.0,148,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10/30/2019,30101,301,3.0,148,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/15/2019,30101,301,3.0,150,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/25/2019,30101,301,3.0,152,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
12/26/2019,30101,301,3.0,156,0,0,0,2,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
12/27/2019,30101,301,3.0,156,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0
01/02/2019,30101,301,3.0,105,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
01/07/2019,30101,301,3.0,106,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
01/11/2019,30101,301,3.0,106,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
01/14/2019,30101,301,3.0,107,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
