fecha,distr,prov,dep,week,physical_v,sexual_v,economical_v,psychological_v,first_time,inf,nin,ado,ado_t,jov,adu,m60,family,love,no_rel,aggr_alcohol,aggr_drug,vict_disab,vict_alco,vict_drug,vict_lgtbi
06/06/2019,80301,803,8.0,127,3,0,0,1,0,0,0,0,0,1,2,1,1,2,1,1,0,0,0,0,0
01/02/2019,80301,803,8.0,105,2,0,0,1,0,0,0,0,0,1,2,0,0,3,0,2,0,0,0,0,0
01/04/2019,80301,803,8.0,105,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0
01/07/2019,80301,803,8.0,106,0,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
01/08/2019,80301,803,8.0,106,2,0,0,2,1,0,0,0,0,1,3,0,2,2,0,1,0,0,0,0,0
01/09/2019,80301,803,8.0,106,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
01/10/2019,80301,803,8.0,106,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
01/11/2019,80301,803,8.0,106,1,0,0,4,1,0,0,1,0,1,2,1,3,2,0,0,0,0,0,0,0
01/14/2019,80301,803,8.0,107,1,0,0,3,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0
01/15/2019,80301,803,8.0,107,1,0,0,2,0,0,0,0,0,2,1,0,0,3,0,2,0,0,0,0,0
01/16/2019,80301,803,8.0,107,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
01/17/2019,80301,803,8.0,107,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
01/18/2019,80301,803,8.0,107,0,0,0,4,0,0,1,0,0,1,2,0,1,3,0,2,0,0,0,0,0
01/21/2019,80301,803,8.0,108,3,0,0,3,1,0,0,0,1,0,4,1,3,3,0,3,0,0,0,0,0
01/22/2019,80301,803,8.0,108,1,0,0,3,0,0,0,0,0,1,3,0,1,3,0,1,0,0,0,0,0
01/23/2019,80301,803,8.0,108,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
01/24/2019,80301,803,8.0,108,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0
01/25/2019,80301,803,8.0,108,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
01/28/2019,80301,803,8.0,109,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
01/29/2019,80301,803,8.0,109,1,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
01/30/2019,80301,803,8.0,109,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
01/31/2019,80301,803,8.0,109,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
02/01/2019,80301,803,8.0,109,3,0,0,1,0,0,0,0,0,2,1,1,2,2,0,3,0,0,0,0,0
02/18/2019,80301,803,8.0,112,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
02/19/2019,80301,803,8.0,112,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0
02/21/2019,80301,803,8.0,112,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
02/25/2019,80301,803,8.0,113,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
02/26/2019,80301,803,8.0,113,3,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0
03/01/2019,80301,803,8.0,113,1,0,0,2,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0
03/04/2019,80301,803,8.0,114,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
03/11/2019,80301,803,8.0,115,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0
03/12/2019,80301,803,8.0,115,3,0,0,1,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0
03/14/2019,80301,803,8.0,115,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
03/15/2019,80301,803,8.0,115,1,0,0,2,0,0,0,1,1,0,1,0,2,1,0,1,0,0,0,0,0
03/18/2019,80301,803,8.0,116,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0
03/20/2019,80301,803,8.0,116,3,0,0,1,1,0,0,0,0,3,1,0,3,1,0,1,0,0,0,0,0
03/21/2019,80301,803,8.0,116,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
03/22/2019,80301,803,8.0,116,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0
03/25/2019,80301,803,8.0,117,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
03/26/2019,80301,803,8.0,117,0,1,0,2,1,0,1,0,0,1,1,0,1,1,1,2,0,0,0,0,0
03/27/2019,80301,803,8.0,117,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
03/29/2019,80301,803,8.0,117,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
04/01/2019,80301,803,8.0,118,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
04/02/2019,80301,803,8.0,118,4,0,0,2,1,0,1,0,0,1,4,0,2,4,0,4,0,0,0,0,0
04/03/2019,80301,803,8.0,118,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
04/04/2019,80301,803,8.0,118,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
04/05/2019,80301,803,8.0,118,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
04/08/2019,80301,803,8.0,119,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0
04/12/2019,80301,803,8.0,119,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
04/15/2019,80301,803,8.0,120,0,0,0,3,0,1,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0
04/16/2019,80301,803,8.0,120,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0
04/17/2019,80301,803,8.0,120,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0
04/22/2019,80301,803,8.0,121,0,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
04/23/2019,80301,803,8.0,121,3,0,0,1,0,0,0,0,0,2,2,0,1,3,0,3,0,0,0,0,0
04/25/2019,80301,803,8.0,121,0,0,0,3,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0
04/29/2019,80301,803,8.0,122,1,0,0,1,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0
05/02/2019,80301,803,8.0,122,2,0,0,1,0,0,0,0,0,1,2,0,1,2,0,2,0,0,0,0,0
05/03/2019,80301,803,8.0,122,1,0,0,2,0,0,0,0,0,0,2,1,0,3,0,3,0,0,0,0,0
05/06/2019,80301,803,8.0,123,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
05/07/2019,80301,803,8.0,123,0,1,0,1,1,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0
05/08/2019,80301,803,8.0,123,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
05/10/2019,80301,803,8.0,123,0,0,0,3,0,1,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0
05/13/2019,80301,803,8.0,124,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
05/14/2019,80301,803,8.0,124,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0
05/15/2019,80301,803,8.0,124,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
05/16/2019,80301,803,8.0,124,2,1,0,0,0,0,0,0,1,0,2,0,0,2,1,1,0,0,0,0,0
05/17/2019,80301,803,8.0,124,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
05/22/2019,80301,803,8.0,125,1,0,0,1,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0
05/23/2019,80301,803,8.0,125,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
05/27/2019,80301,803,8.0,126,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0
05/28/2019,80301,803,8.0,126,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
05/29/2019,80301,803,8.0,126,2,0,0,2,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
05/30/2019,80301,803,8.0,126,3,0,0,0,2,0,0,0,0,0,2,1,1,2,0,2,0,0,0,0,0
05/31/2019,80301,803,8.0,126,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
06/03/2019,80301,803,8.0,127,2,1,0,2,1,0,0,0,1,1,3,0,1,4,0,2,0,0,0,0,0
06/04/2019,80301,803,8.0,127,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
06/05/2019,80301,803,8.0,127,1,0,0,2,0,0,0,0,1,0,2,0,1,2,0,3,0,0,0,0,0
06/10/2019,80301,803,8.0,128,2,1,0,0,1,0,0,0,1,0,2,0,0,2,1,1,0,0,0,0,0
06/11/2019,80301,803,8.0,128,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
06/12/2019,80301,803,8.0,128,4,0,0,1,0,0,1,0,0,2,2,0,2,3,0,2,0,0,0,0,0
06/17/2019,80301,803,8.0,129,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
06/18/2019,80301,803,8.0,129,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0
06/19/2019,80301,803,8.0,129,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
06/20/2019,80301,803,8.0,129,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
06/21/2019,80301,803,8.0,129,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
06/25/2019,80301,803,8.0,130,2,0,0,2,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0
06/26/2019,80301,803,8.0,130,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
06/27/2019,80301,803,8.0,130,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
06/28/2019,80301,803,8.0,130,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
07/01/2019,80301,803,8.0,131,0,0,0,3,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,0
07/03/2019,80301,803,8.0,131,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0
07/04/2019,80301,803,8.0,131,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
07/05/2019,80301,803,8.0,131,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
07/08/2019,80301,803,8.0,132,3,0,0,3,0,0,0,0,0,0,6,0,2,4,0,3,0,0,0,0,0
07/09/2019,80301,803,8.0,132,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
07/10/2019,80301,803,8.0,132,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
07/12/2019,80301,803,8.0,132,0,0,0,4,0,0,1,1,0,0,0,2,4,0,0,0,0,0,0,0,0
07/15/2019,80301,803,8.0,133,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0
07/16/2019,80301,803,8.0,133,3,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0
07/17/2019,80301,803,8.0,133,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
07/18/2019,80301,803,8.0,133,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
07/19/2019,80301,803,8.0,133,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
07/22/2019,80301,803,8.0,134,2,0,0,3,1,0,0,0,0,3,2,0,2,3,0,2,0,0,0,0,0
07/23/2019,80301,803,8.0,134,2,0,0,3,1,0,0,1,0,1,2,1,2,3,0,3,0,0,0,0,0
07/24/2019,80301,803,8.0,134,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
07/25/2019,80301,803,8.0,134,1,0,0,2,1,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0
07/30/2019,80301,803,8.0,135,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
08/01/2019,80301,803,8.0,135,1,0,0,2,0,0,0,0,0,0,3,0,1,2,0,2,0,0,0,0,0
08/02/2019,80301,803,8.0,135,1,0,0,2,0,0,0,1,0,0,2,0,1,2,0,2,0,0,0,0,0
08/05/2019,80301,803,8.0,136,1,1,0,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0
08/06/2019,80301,803,8.0,136,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
08/09/2019,80301,803,8.0,136,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
08/12/2019,80301,803,8.0,137,2,0,0,1,0,0,0,0,0,1,2,0,0,3,0,2,0,0,0,0,0
08/13/2019,80301,803,8.0,137,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
08/15/2019,80301,803,8.0,137,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
08/19/2019,80301,803,8.0,138,0,1,0,2,2,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
08/20/2019,80301,803,8.0,138,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0
08/21/2019,80301,803,8.0,138,2,0,0,1,0,0,0,0,1,0,2,0,0,3,0,2,0,0,0,0,0
08/22/2019,80301,803,8.0,138,1,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0
08/23/2019,80301,803,8.0,138,3,1,0,0,1,0,0,1,0,1,2,0,1,3,0,1,0,0,0,0,0
08/26/2019,80301,803,8.0,139,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
08/27/2019,80301,803,8.0,139,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0
08/28/2019,80301,803,8.0,139,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
09/02/2019,80301,803,8.0,140,4,0,0,2,1,0,1,0,0,1,3,1,3,3,0,5,0,0,0,0,0
09/03/2019,80301,803,8.0,140,2,0,0,1,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0
09/04/2019,80301,803,8.0,140,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0
09/05/2019,80301,803,8.0,140,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
09/06/2019,80301,803,8.0,140,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
09/09/2019,80301,803,8.0,141,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
09/12/2019,80301,803,8.0,141,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
09/16/2019,80301,803,8.0,142,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
09/17/2019,80301,803,8.0,142,2,0,0,1,1,0,0,0,0,1,2,0,1,2,0,2,0,0,0,0,0
09/18/2019,80301,803,8.0,142,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
09/19/2019,80301,803,8.0,142,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0
09/20/2019,80301,803,8.0,142,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
09/23/2019,80301,803,8.0,143,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0
09/24/2019,80301,803,8.0,143,1,0,0,1,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0
09/25/2019,80301,803,8.0,143,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
09/26/2019,80301,803,8.0,143,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0
09/27/2019,80301,803,8.0,143,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
09/30/2019,80301,803,8.0,144,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
10/01/2019,80301,803,8.0,144,2,0,0,2,0,0,0,0,0,1,3,0,1,3,0,1,0,0,0,0,0
10/02/2019,80301,803,8.0,144,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
