fecha,distr,prov,dep,week,physical_v,sexual_v,economical_v,psychological_v,first_time,inf,nin,ado,ado_t,jov,adu,m60,family,love,no_rel,aggr_alcohol,aggr_drug,vict_disab,vict_alco,vict_drug,vict_lgtbi
159,30101,301,3.0,159,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
161,30101,301,3.0,161,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
163,30101,301,3.0,163,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
166,30101,301,3.0,166,3,0,0,4,1,2,2,1,0,0,2,0,5,2,0,0,0,0,0,0,0
167,30101,301,3.0,167,2,0,0,2,3,0,3,0,0,0,1,0,4,0,0,1,0,0,0,0,0
184,30101,301,3.0,184,0,0,0,3,0,0,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0
185,30101,301,3.0,185,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
197,30101,301,3.0,197,3,0,0,2,1,1,1,0,0,0,2,1,4,1,0,0,0,0,0,0,0
200,30101,301,3.0,200,2,0,0,4,1,0,4,0,0,0,1,1,5,1,0,1,0,0,0,0,0
158,30101,301,3.0,158,1,0,0,3,1,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0
165,30101,301,3.0,165,1,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0
186,30101,301,3.0,186,1,0,0,1,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0
187,30101,301,3.0,187,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
198,30101,301,3.0,198,3,0,0,3,3,0,0,0,1,1,4,0,6,0,0,2,1,0,0,0,0
199,30101,301,3.0,199,1,0,0,5,2,2,0,0,1,0,2,1,5,1,0,2,0,0,0,0,0
201,30101,301,3.0,201,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
