fecha,distr,prov,dep,week,physical_v,sexual_v,economical_v,psychological_v,first_time,inf,nin,ado,ado_t,jov,adu,m60,family,love,no_rel,aggr_alcohol,aggr_drug,vict_disab,vict_alco,vict_drug,vict_lgtbi
1,30101,301,3.0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,30101,301,3.0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10,30101,301,3.0,10,0,0,0,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
18,30101,301,3.0,18,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
31,30101,301,3.0,31,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,30101,301,3.0,34,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,30101,301,3.0,37,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
44,30101,301,3.0,44,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,30101,301,3.0,48,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,30101,301,3.0,49,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
51,30101,301,3.0,51,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,90201,902,9.0,3,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
5,90201,902,9.0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
7,90201,902,9.0,7,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
14,90201,902,9.0,14,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
16,90201,902,9.0,16,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
18,90201,902,9.0,18,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
19,90201,902,9.0,19,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0
20,90201,902,9.0,20,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,90201,902,9.0,21,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22,90201,902,9.0,22,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
24,90201,902,9.0,24,2,0,1,0,2,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0
26,90201,902,9.0,26,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,90201,902,9.0,27,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0
31,90201,902,9.0,31,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
36,90201,902,9.0,36,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
39,90201,902,9.0,39,4,0,0,0,0,0,2,2,0,0,0,0,4,0,0,4,0,0,0,0,0
40,90201,902,9.0,40,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
41,90201,902,9.0,41,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
45,90201,902,9.0,45,4,0,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0
51,90201,902,9.0,51,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,80201,802,8.0,2,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
6,80201,802,8.0,6,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
7,80201,802,8.0,7,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
8,80201,802,8.0,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,80201,802,8.0,9,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
10,80201,802,8.0,10,1,0,0,1,2,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0
15,80201,802,8.0,15,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,80201,802,8.0,16,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
17,80201,802,8.0,17,2,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
18,80201,802,8.0,18,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
20,80201,802,8.0,20,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,80201,802,8.0,21,2,0,0,2,2,2,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0
25,80201,802,8.0,25,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
27,80201,802,8.0,27,0,0,0,2,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0
29,80201,802,8.0,29,0,1,0,2,1,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0
30,80201,802,8.0,30,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,80201,802,8.0,32,0,0,0,5,0,1,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0
33,80201,802,8.0,33,0,0,0,5,3,3,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0
34,80201,802,8.0,34,0,0,0,3,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
37,80201,802,8.0,37,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
38,80201,802,8.0,38,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
39,80201,802,8.0,39,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
40,80201,802,8.0,40,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,80201,802,8.0,42,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
46,80201,802,8.0,46,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,80201,802,8.0,49,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50,80201,802,8.0,50,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,20201,202,2.0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10,20201,202,2.0,10,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
12,20201,202,2.0,12,2,0,0,2,1,1,1,1,0,0,0,1,4,0,0,2,0,0,0,0,0
13,20201,202,2.0,13,0,0,0,3,1,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0
16,20201,202,2.0,16,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
22,20201,202,2.0,22,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25,20201,202,2.0,25,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
29,20201,202,2.0,29,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
31,20201,202,2.0,31,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
32,20201,202,2.0,32,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,20201,202,2.0,34,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,20201,202,2.0,36,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
37,20201,202,2.0,37,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0
38,20201,202,2.0,38,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
41,20201,202,2.0,41,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
42,20201,202,2.0,42,1,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0
46,20201,202,2.0,46,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
48,20201,202,2.0,48,0,0,0,6,0,2,3,1,0,0,0,0,6,0,0,6,0,0,0,0,0
5,100201,1002,10.0,5,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
10,100201,1002,10.0,10,0,0,0,2,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
12,100201,1002,10.0,12,4,0,0,0,0,2,2,0,0,0,0,0,4,0,0,4,0,0,0,0,0
16,100201,1002,10.0,16,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
17,100201,1002,10.0,17,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,100201,1002,10.0,30,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
31,100201,1002,10.0,31,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
34,100201,1002,10.0,34,0,2,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
42,100201,1002,10.0,42,0,0,0,3,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0
45,100201,1002,10.0,45,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
47,100201,1002,10.0,47,3,0,0,0,3,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0
