fecha,distr,prov,dep,week,physical_v,sexual_v,economical_v,psychological_v,first_time,inf,nin,ado,ado_t,jov,adu,m60,family,love,no_rel,aggr_alcohol,aggr_drug,vict_disab,vict_alco,vict_drug,vict_lgtbi
53,30101,301,3.0,53,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
54,30101,301,3.0,54,1,0,0,3,0,0,0,0,0,1,2,1,1,3,0,1,0,0,0,0,0
55,30101,301,3.0,55,3,0,0,1,0,0,0,0,0,1,3,0,0,4,0,1,0,0,0,0,0
56,30101,301,3.0,56,1,0,0,4,0,0,0,0,0,2,3,0,0,5,0,2,0,0,0,0,0
57,30101,301,3.0,57,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
58,30101,301,3.0,58,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
59,30101,301,3.0,59,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
60,30101,301,3.0,60,1,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
61,30101,301,3.0,61,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0
62,30101,301,3.0,62,1,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0
63,30101,301,3.0,63,2,0,0,2,0,0,0,1,0,1,2,0,1,3,0,1,0,0,0,0,0
64,30101,301,3.0,64,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
65,30101,301,3.0,65,0,2,0,0,2,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0
66,30101,301,3.0,66,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
68,30101,301,3.0,68,0,0,0,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
69,30101,301,3.0,69,1,0,0,3,0,0,0,0,0,1,2,1,0,4,0,3,0,0,0,0,0
